Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0805_2012Metric,144.89,-82.53,90,bottom
C2,22pF,C_0805_2012Metric,155.68,-93.25,180,bottom
C3,22pF,C_0805_2012Metric,155.69,-95.38,0,bottom
C4,0.1uF,C_0805_2012Metric,155.67,-91.05,0,bottom
C5,10uF,C_0805_2012Metric,157.64,-86.94,0,bottom
C6,0.1uF,C_0805_2012Metric,155.65,-89.03,0,bottom
D0,1N4448,D_SOD123,61.04,-43.93,180,bottom
D1,1N4448,D_SOD123,79.34,-43.93,180,bottom
D2,1N4448,D_SOD123,99.14,-43.93,180,bottom
D3,1N4448,D_SOD123,118.14,-43.98,180,bottom
D4,1N4448,D_SOD123,137.24,-43.98,180,bottom
D5,1N4448,D_SOD123,156.29,-43.98,0,bottom
D6,1N4448,D_SOD123,175.19,-43.98,0,bottom
D7,1N4448,D_SOD123,194.34,-43.93,0,bottom
D8,1N4448,D_SOD123,213.39,-43.88,0,bottom
D9,1N4448,D_SOD123,232.39,-43.93,0,bottom
D10,1N4448,D_SOD123,60.69,-62.855,0,bottom
D11,1N4448,D_SOD123,79.74,-62.83,0,bottom
D12,1N4448,D_SOD123,98.39,-62.83,0,bottom
D13,1N4448,D_SOD123,115.09,-62.93,0,bottom
D14,1N4448,D_SOD123,134.99,-62.83,0,bottom
D15,1N4448,D_SOD123,164.19,-61.83,90,bottom
D16,1N4448,D_SOD123,183.29,-61.53,90,bottom
D17,1N4448,D_SOD123,202.19,-61.93,90,bottom
D18,1N4448,D_SOD123,216.89,-62.93,0,bottom
D19,1N4448,D_SOD123,234.49,-62.83,0,bottom
D20,1N4448,D_SOD123,69.24,-69.63,270,bottom
D21,1N4448,D_SOD123,88.39,-69.58,270,bottom
D22,1N4448,D_SOD123,107.19,-69.48,270,bottom
D23,1N4448,D_SOD123,126.59,-69.43,270,bottom
D24,1N4448,D_SOD123,145.14,-68.83,270,bottom
D25,1N4448,D_SOD123,164.69,-69.53,270,bottom
D26,1N4448,D_SOD123,184.49,-69.53,270,bottom
D27,1N4448,D_SOD123,203.69,-69.43,270,bottom
D28,1N4448,D_SOD123,223.59,-69.53,270,bottom
D29,1N4448,D_SOD123,240.39,-67.03,270,bottom
D30,1N4448,D_SOD123,71.49,-92.68,90,bottom
D31,1N4448,D_SOD123,90.54,-92.78,90,bottom
D32,1N4448,D_SOD123,109.64,-92.78,90,bottom
D33,1N4448,D_SOD123,112.29,-92.78,90,bottom
D35,1N4448,D_SOD123,176.54,-93.43,90,bottom
D37,1N4448,D_SOD123,202.89,-86.93,270,bottom
D38,1N4448,D_SOD123,221.79,-86.83,270,bottom
D39,1N4448,D_SOD123,240.39,-86.73,270,bottom
F1,Polyfuse_Small,Fuse_1206_3216Metric,145.28,-45.1,270,bottom
J1,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,146.715,-21.0425,0,bottom
R1,22,R_0805_2012Metric,148.19,-47.91,270,bottom
R2,22,R_0805_2012Metric,148.19,-44.51,90,bottom
R3,10k,R_0805_2012Metric,142.79,-82.43,270,bottom
R4,"5,1k",R_0805_2012Metric,141.09,-27.53,0,bottom
R5,"5,1k",R_0805_2012Metric,152.4,-27.53,180,bottom
R6,10k,R_0805_2012Metric,146.974765,-97.825235,225,bottom
SW1,SW_PUSH,SW_SPST_TL3342,117.14,-92.13,90,bottom
U1,ATmega32U2-A,TQFP-32_7x7mm_P0.8mm,143.47,-91.71,135,bottom
U2,SRV05-4,SOT-23-6,146.68,-33.5,180,bottom
Y1,Crystal_GND24_Small,Crystal_SMD_3225-4Pin_3.2x2.5mm,150.99,-95.73,270,bottom
