Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"1.5u1","1.5u","SW_MX_HS_1u_NOREF",122.902500,-92.480000,0.000000,bottom
"1.5u2","1.5u","SW_MX_HS_1u_NOREF",170.527500,-92.480000,0.000000,bottom
"1.5u3","1.5u","SW_MX_HS_1u_NOREF",175.290000,-92.480000,180.000000,bottom
"1u1","1u","SW_MX_HS_1u_NOREF",60.990000,-92.480000,180.000000,bottom
"1u2","1u","SW_MX_HS_1u_NOREF",80.040000,-92.480000,180.000000,bottom
"1u3","1u","SW_MX_HS_1u_NOREF",99.090000,-92.480000,180.000000,bottom
"1u4","1u","SW_MX_HS_1u_NOREF",189.577500,-92.480000,180.000000,bottom
"1u4_offset1","1u","SW_MX_HS_1u_NOREF",103.852500,-92.480000,180.000000,bottom
"1u6","1u","SW_MX_HS_1u_NOREF",194.340000,-92.480000,180.000000,bottom
"1u7","1u","SW_MX_HS_1u_NOREF",213.390000,-92.480000,180.000000,bottom
"1u8","1u","SW_MX_HS_1u_NOREF",232.440000,-92.480000,180.000000,bottom
"1u_space1","1u","SW_MX_HS_1u_NOREF",70.515000,-92.480000,0.000000,bottom
"1u_space2","1u","SW_MX_HS_1u_NOREF",222.915000,-92.480000,0.000000,bottom
"2u1","2u","SW_MX_HS_1u_NOREF",118.140000,-92.480000,180.000000,bottom
"2u2","2u","SW_MX_HS_1u_NOREF",156.240000,-92.480000,180.000000,bottom
"2u3","2u","SW_MX_HS_1u_NOREF",137.190000,-92.480000,180.000000,bottom
"2u4","2u","SW_MX_HS_1u_NOREF",165.765000,-92.480000,180.000000,bottom
"2u_1.25option1","2u","SW_MX_HS_1u_NOREF",127.665000,-92.480000,180.000000,bottom
"C1","10u","C_0805_2012Metric",183.570000,-60.230000,-90.000000,bottom
"C2","22pf","C_0805_2012Metric",156.188249,-61.078249,-45.000000,bottom
"C3","22pf","C_0805_2012Metric",151.701751,-65.541751,-45.000000,bottom
"C4","10u","C_0805_2012Metric",177.880000,-60.230000,90.000000,bottom
"C5","100n","C_0805_2012Metric",123.850000,-61.610000,90.000000,bottom
